variable,estimate,lci,uci,type,group,est_ci,gender
bmi,24.2,24.1,24.4,Continuous,NA,"24.2 (24.1, 24.4)",female
moderate_pa,0.3,0.3,0.3,Continuous,NA,"0.3 (0.3, 0.3)",female
vigorous_pa,0.4,0.3,0.4,Continuous,NA,"0.4 (0.3, 0.4)",female
hh_size,2,2,2,Continuous,NA,"2 (2, 2)",female
hh_wealth,250053,186133.2,313972.7,Continuous,NA,"250053 (186133.2, 313972.7)",female
hh_income,29004.3,26661.1,31347.4,Continuous,NA,"29004.3 (26661.1, 31347.4)",female
hh_lengthmar,34.4,34.1,34.7,Continuous,NA,"34.4 (34.1, 34.7)",female
age,58,57.7,58.2,Continuous,NA,"58 (57.7, 58.2)",male
sbp,128.9,128.4,129.4,Continuous,NA,"128.9 (128.4, 129.4)",male
dbp,76.6,76.3,76.9,Continuous,NA,"76.6 (76.3, 76.9)",male
height,164.5,164.3,164.7,Continuous,NA,"164.5 (164.3, 164.7)",male
weight,63.6,63.1,64.2,Continuous,NA,"63.6 (63.1, 64.2)",male
hhsampleweight,31572.8,27265.9,35879.8,Continuous,NA,"31572.8 (27265.9, 35879.8)",male
bmi,23.4,23.2,23.6,Continuous,NA,"23.4 (23.2, 23.6)",male
moderate_pa,0.3,0.3,0.4,Continuous,NA,"0.3 (0.3, 0.4)",male
vigorous_pa,0.3,0.3,0.4,Continuous,NA,"0.3 (0.3, 0.4)",male
hh_size,2,2,2,Continuous,NA,"2 (2, 2)",male
hh_wealth,250053,186133.2,313972.7,Continuous,NA,"250053 (186133.2, 313972.7)",male
hh_income,29004.3,26661.1,31347.4,Continuous,NA,"29004.3 (26661.1, 31347.4)",male
hh_lengthmar,34.4,34.1,34.7,Continuous,NA,"34.4 (34.1, 34.7)",male
diagnosed_bp,22.9,21.8,23.9,Proportion,NA,"22.9 (21.8, 23.9)",female
medication_bp,17.6,16.7,18.5,Proportion,NA,"17.6 (16.7, 18.5)",female
diagnosed_dm,6.1,5.5,6.6,Proportion,NA,"6.1 (5.5, 6.6)",female
medication_dm,4.1,3.6,4.6,Proportion,NA,"4.1 (3.6, 4.6)",female
heavydrinker,1.7,1.4,2,Proportion,NA,"1.7 (1.4, 2)",female
retirement,10.3,9.4,11.3,Proportion,NA,"10.3 (9.4, 11.3)",female
smokeever,6.8,6.2,7.4,Proportion,NA,"6.8 (6.2, 7.4)",female
smokecurr,4.6,4.1,5.1,Proportion,NA,"4.6 (4.1, 5.1)",female
alcohol,13.4,12.5,14.3,Proportion,NA,"13.4 (12.5, 14.3)",female
lengthmar_ge10,98.7,98.3,98.9,Proportion,NA,"98.7 (98.3, 98.9)",female
hh_lengthmar_ge10,98.6,98.2,98.9,Proportion,NA,"98.6 (98.2, 98.9)",female
htn,50.2,48.9,51.5,Proportion,NA,"50.2 (48.9, 51.5)",female
diagnosed_bp,22.2,21.2,23.2,Proportion,NA,"22.2 (21.2, 23.2)",male
medication_bp,17,16.1,18,Proportion,NA,"17 (16.1, 18)",male
diagnosed_dm,5.3,4.8,5.8,Proportion,NA,"5.3 (4.8, 5.8)",male
medication_dm,4,3.6,4.5,Proportion,NA,"4 (3.6, 4.5)",male
heavydrinker,10.7,10,11.5,Proportion,NA,"10.7 (10, 11.5)",male
retirement,14.6,13.6,15.6,Proportion,NA,"14.6 (13.6, 15.6)",male
smokeever,75.8,74.7,77,Proportion,NA,"75.8 (74.7, 77)",male
smokecurr,56,54.6,57.3,Proportion,NA,"56 (54.6, 57.3)",male
alcohol,58.5,57.2,59.8,Proportion,NA,"58.5 (57.2, 59.8)",male
lengthmar_ge10,98.6,98.2,98.9,Proportion,NA,"98.6 (98.2, 98.9)",male
hh_lengthmar_ge10,98.6,98.2,98.9,Proportion,NA,"98.6 (98.2, 98.9)",male
htn,55.7,54.4,57,Proportion,NA,"55.7 (54.4, 57)",male
laborforce,4,3.5,4.5,Grouped,None,"4 (3.5, 4.5)",female
laborforce,82.5,81.2,83.7,Grouped,Formal,"82.5 (81.2, 83.7)",female
laborforce,13.6,12.4,14.8,Grouped,Retired,"13.6 (12.4, 14.8)",female
laborforce,0,0,0,Grouped,NA,"0 (0, 0)",female
laborforce,0.8,0.6,1,Grouped,None,"0.8 (0.6, 1)",male
laborforce,81.9,80.7,83.1,Grouped,Formal,"81.9 (80.7, 83.1)",male
laborforce,17.3,16.2,18.5,Grouped,Retired,"17.3 (16.2, 18.5)",male
laborforce,0,0,0,Grouped,NA,"0 (0, 0)",male
smoke,93.2,92.6,93.7,Grouped,Never,"93.2 (92.6, 93.7)",female
smoke,2.3,1.9,2.6,Grouped,Former,"2.3 (1.9, 2.6)",female
smoke,4.5,4.1,5,Grouped,Current,"4.5 (4.1, 5)",female
smoke,24.2,23.1,25.4,Grouped,Never,"24.2 (23.1, 25.4)",male
smoke,23.7,22.5,24.9,Grouped,Former,"23.7 (22.5, 24.9)",male
smoke,52.1,50.8,53.4,Grouped,Current,"52.1 (50.8, 53.4)",male
education_h,92.1,91.3,92.8,Grouped,Less than lower secondary,"92.1 (91.3, 92.8)",female
education_h,1.1,0.7,1.7,Grouped,Tertiary,"1.1 (0.7, 1.7)",female
education_h,6.8,6.2,7.4,Grouped,Upper secondary and vocational training,"6.8 (6.2, 7.4)",female
education_h,0,0,0,Grouped,NA,"0 (0, 0)",female
education_h,84.6,83.6,85.6,Grouped,Less than lower secondary,"84.6 (83.6, 85.6)",male
education_h,2.5,2.1,2.9,Grouped,Tertiary,"2.5 (2.1, 2.9)",male
education_h,12.9,12,13.9,Grouped,Upper secondary and vocational training,"12.9 (12, 13.9)",male
education_h,0,0,0,Grouped,NA,"0 (0, 0)",male
hh_incometertile,32.7,31.2,34.2,Grouped,Low,"32.7 (31.2, 34.2)",female
hh_incometertile,33.8,32.2,35.4,Grouped,Medium,"33.8 (32.2, 35.4)",female
hh_incometertile,33.5,32,35.1,Grouped,High,"33.5 (32, 35.1)",female
hh_incometertile,0,0,0,Grouped,NA,"0 (0, 0)",female
hh_incometertile,32.7,31.2,34.2,Grouped,Low,"32.7 (31.2, 34.2)",male
hh_incometertile,33.8,32.2,35.4,Grouped,Medium,"33.8 (32.2, 35.4)",male
hh_incometertile,33.5,32,35.1,Grouped,High,"33.5 (32, 35.1)",male
hh_incometertile,0,0,0,Grouped,NA,"0 (0, 0)",male
hh_wealthquintile,19.7,18.5,20.9,Grouped,Lowest,"19.7 (18.5, 20.9)",female
hh_wealthquintile,19.6,18.5,20.8,Grouped,Low,"19.6 (18.5, 20.8)",female
hh_wealthquintile,20.2,19,21.4,Grouped,Medium,"20.2 (19, 21.4)",female
hh_wealthquintile,21.2,20,22.4,Grouped,High,"21.2 (20, 22.4)",female
hh_wealthquintile,19.4,18,20.8,Grouped,Highest,"19.4 (18, 20.8)",female
hh_wealthquintile,0,0,0,Grouped,NA,"0 (0, 0)",female
hh_wealthquintile,19.7,18.5,20.9,Grouped,Lowest,"19.7 (18.5, 20.9)",male
hh_wealthquintile,19.6,18.5,20.8,Grouped,Low,"19.6 (18.5, 20.8)",male
hh_wealthquintile,20.2,19,21.4,Grouped,Medium,"20.2 (19, 21.4)",male
hh_wealthquintile,21.2,20,22.4,Grouped,High,"21.2 (20, 22.4)",male
hh_wealthquintile,19.4,18,20.8,Grouped,Highest,"19.4 (18, 20.8)",male
hh_wealthquintile,0,0,0,Grouped,NA,"0 (0, 0)",male
