variable,estimate,lci,uci,type,group,est_ci,gender
education_h,44.5,42,47.1,Grouped,Less than lower secondary,"44.5 (42, 47.1)",female
education_h,11.4,9.9,13.1,Grouped,Tertiary,"11.4 (9.9, 13.1)",female
education_h,44,41.5,46.6,Grouped,Upper secondary and vocational training,"44 (41.5, 46.6)",female
education_h,33.2,31,35.6,Grouped,Less than lower secondary,"33.2 (31, 35.6)",male
education_h,18,16.2,20,Grouped,Tertiary,"18 (16.2, 20)",male
education_h,48.8,46.3,51.2,Grouped,Upper secondary and vocational training,"48.8 (46.3, 51.2)",male
hh_incometertile,33.6,31.4,35.9,Grouped,Low,"33.6 (31.4, 35.9)",female
hh_incometertile,34.9,32.7,37.2,Grouped,Medium,"34.9 (32.7, 37.2)",female
hh_incometertile,31.4,29.3,33.7,Grouped,High,"31.4 (29.3, 33.7)",female
hh_incometertile,33.7,31.4,36,Grouped,Low,"33.7 (31.4, 36)",male
hh_incometertile,34.6,32.4,36.9,Grouped,Medium,"34.6 (32.4, 36.9)",male
hh_incometertile,31.7,29.5,34,Grouped,High,"31.7 (29.5, 34)",male
hh_wealthquintile,17,15.3,18.8,Grouped,Lowest,"17 (15.3, 18.8)",female
hh_wealthquintile,18.5,16.8,20.4,Grouped,Low,"18.5 (16.8, 20.4)",female
hh_wealthquintile,22.6,20.6,24.8,Grouped,Medium,"22.6 (20.6, 24.8)",female
hh_wealthquintile,21.3,19.4,23.3,Grouped,High,"21.3 (19.4, 23.3)",female
hh_wealthquintile,20.6,18.9,22.4,Grouped,Highest,"20.6 (18.9, 22.4)",female
hh_wealthquintile,17.2,15.4,19.1,Grouped,Lowest,"17.2 (15.4, 19.1)",male
hh_wealthquintile,18.3,16.6,20.2,Grouped,Low,"18.3 (16.6, 20.2)",male
hh_wealthquintile,22.4,20.4,24.5,Grouped,Medium,"22.4 (20.4, 24.5)",male
hh_wealthquintile,21.3,19.4,23.3,Grouped,High,"21.3 (19.4, 23.3)",male
hh_wealthquintile,20.8,19,22.7,Grouped,Highest,"20.8 (19, 22.7)",male
hh_consumptionquintile,20.5,18.7,22.5,Grouped,Lowest,"20.5 (18.7, 22.5)",female
hh_consumptionquintile,21.9,20,24,Grouped,Low,"21.9 (20, 24)",female
hh_consumptionquintile,20.2,18.4,22.1,Grouped,Medium,"20.2 (18.4, 22.1)",female
hh_consumptionquintile,19.5,17.6,21.5,Grouped,High,"19.5 (17.6, 21.5)",female
hh_consumptionquintile,17.8,16,19.8,Grouped,Highest,"17.8 (16, 19.8)",female
hh_consumptionquintile,20.3,18.5,22.3,Grouped,Lowest,"20.3 (18.5, 22.3)",male
hh_consumptionquintile,22.1,20.1,24.2,Grouped,Low,"22.1 (20.1, 24.2)",male
hh_consumptionquintile,20.4,18.5,22.5,Grouped,Medium,"20.4 (18.5, 22.5)",male
hh_consumptionquintile,19.1,17.3,21,Grouped,High,"19.1 (17.3, 21)",male
hh_consumptionquintile,18,16.2,20.1,Grouped,Highest,"18 (16.2, 20.1)",male
race,1.9,1.2,2.8,Grouped,Non-White,"1.9 (1.2, 2.8)",female
race,98.1,97.2,98.8,Grouped,White,"98.1 (97.2, 98.8)",female
race,1.9,1.2,2.9,Grouped,Non-White,"1.9 (1.2, 2.9)",male
race,98.1,97.1,98.8,Grouped,White,"98.1 (97.1, 98.8)",male
religion,65.1,62.9,67.2,Grouped,Christian,"65.1 (62.9, 67.2)",female
religion,7,5.8,8.4,Grouped,None,"7 (5.8, 8.4)",female
religion,27.9,26,30,Grouped,Other,"27.9 (26, 30)",female
religion,57.1,54.8,59.4,Grouped,Christian,"57.1 (54.8, 59.4)",male
religion,11.6,10.2,13.2,Grouped,None,"11.6 (10.2, 13.2)",male
religion,31.3,29.2,33.4,Grouped,Other,"31.3 (29.2, 33.4)",male
